device,VIN,data_collector,elapsed_time_s,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,fuel_type
,PSEUDO-FASTBACK,App2Car,0.000,,56.0,,,574.1999999999999,50.0,0.5219359993934631,5.588066577911377,8.056488990783691,9.818651644968968,,,,,,,,0.0,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,,,,Gasolina
,PSEUDO-FASTBACK,App2Car,0.998,,56.0,,,699.6,50.0,0.1675941199064254,6.521805286407471,7.314286231994629,9.801061935646862,,,,,,,,261.8,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,1.998,,65.0,,,811.8,50.0,-0.7781155705451965,6.847416877746582,7.491456985473633,10.17912125401674,,,,,,,,378.95,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,2.999,,61.0,,,810.0,50.0,0.4525041282176971,4.9799394607543945,7.364564418792725,8.901761965890834,,,,,,,,445.5,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,3.997,,52.0,,,637.8,50.0,1.015141487121582,4.347870349884033,8.813055992126465,9.879496178380368,,,,,,,,308.27,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,4.999,,51.0,,,633.0,50.0,0.6177040338516235,4.584896087646484,8.245630264282227,9.454800307949377,,,,,,,,298.11,,,0,Não identificado,,,0.0,0.9333333333333332,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,5.998,,46.0,,,612.0,50.0,0.4620809257030487,5.916072368621826,8.415618896484375,10.297381825664916,,,,,,,,272.685,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,6.998,,42.0,,,585.6,50.0,-0.4213795065879822,4.639962673187256,9.08838939666748,10.213013077569284,,,,,,,,245.735,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,7.998,,42.0,,,557.4,50.0,-0.2920926213264465,5.386953830718994,8.767566680908203,10.294406985247042,,,,,,,,228.25000000000003,,,0,Não identificado,,,0.0,0.6666666666666666,90.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,8.998,,44.0,,,568.8,50.0,-2.324769735336304,4.572925090789795,8.865729331970215,10.242917299093431,,,,,,,,245.96,,,0,Não identificado,,,0.0,0.7333333333333333,90.0,0.0,0.0,,Gasolina
