device,VIN,data_collector,elapsed_time_s,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,fuel_type
,PSEUDO-FASTBACK,App2Car,0.000,,68.0,,,596.4,50.0,0.706289529800415,4.572925090789795,8.35336971282959,9.54930753222972,,,,,,,,0.0,,,0,Não identificado,,,0.0,0.8333333333333334,46.0,0.0,,,Gasolina
,PSEUDO-FASTBACK,App2Car,1.000,,68.0,,,583.1999999999999,50.0,-0.1987187415361404,5.633556365966797,9.32541561126709,10.896780386408944,,,,,,,,339.32,,,0,Não identificado,,,0.0,0.8,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,2.000,,69.0,,,622.1999999999999,50.0,0.5554547905921936,5.051765441894531,9.119514465332031,10.440038706236288,,,,,,,,345.06000000000006,,,0,Não identificado,,,0.0,0.8333333333333334,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,3.000,,49.0,,,572.4,50.0,0.9552865028381348,5.875370979309082,7.65186882019043,9.69451664026704,,,,,,,,294.12,,,0,Não identificado,,,0.0,0.7666666666666667,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,3.999,,47.0,,,592.8,50.0,1.8531121015548704,5.583278179168701,9.272743225097656,10.981383638025992,,,,,,,,262.35,,,0,Não identificado,,,0.0,0.8666666666666667,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,4.999,,46.0,,,607.1999999999999,50.0,-0.0574608407914638,5.140350818634033,5.951985359191895,7.864644810981021,,,,,,,,289.27500000000003,,,0,Não identificado,,,0.0,0.8,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,6.000,,44.0,,,619.1999999999999,50.0,-0.5099649429321289,6.720524311065674,9.004592895507812,11.247586606578066,,,,,,,,284.20000000000005,,,0,Não identificado,,,0.0,0.8333333333333334,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,6.999,,44.0,,,619.1999999999999,50.0,-1.8602946996688845,6.540958881378174,9.064447402954102,11.331771537514223,,,,,,,,284.20000000000005,,,0,Não identificado,,,0.0,0.8333333333333334,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,7.999,,43.0,,,624.6,50.0,-1.556231141090393,3.83072280883789,4.618414878845215,6.198874784651585,,,,,,,,298.11,,,0,Não identificado,,,0.0,0.8,46.0,0.0,0.0,,Gasolina
,PSEUDO-FASTBACK,App2Car,9.000,,42.0,,,639.6,50.0,-3.4165258407592773,6.598419666290283,12.131420135498049,14.226143026731796,,,,,,,,305.08,,,0,Não identificado,,,0.0,0.8,46.0,0.0,0.0,,Gasolina
